Jurisdiction,Effective Date,Minimum Wage,Note
British Columbia,01-Jun-24,$17.40 ,
British Columbia,01-Jun-23,$16.75 ,
British Columbia,01-Jun-22,$15.65 ,
British Columbia,01-Jun-21,$15.20 ,
British Columbia,01-Jun-20,$14.60 ,
British Columbia,01-Jun-19,$13.85 ,
British Columbia,01-Jun-18,$12.65 ,
British Columbia,15-Sep-17,$11.35 ,
British Columbia,15-Sep-16,$10.85 ,
British Columbia,15-Sep-15,$10.45 ,
British Columbia,01-May-12,$10.25 ,
British Columbia,01-Nov-11,$9.50 ,
British Columbia,01-May-11,$8.75 ,
British Columbia,01-Nov-01,$8.00 ,
British Columbia,01-Nov-00,$7.60 ,
