Date,"Police officers per 100,000 population",Weighted clearance rate,Vancouver Unemployment Rate
2003-01-01,204.2,22.74,7.1
2003-02-01,204.2,22.74,7.1
2003-03-01,204.2,22.74,7
2003-04-01,204.2,22.74,7.3
2003-05-01,204.2,22.74,7.3
2003-06-01,204.2,22.74,6.9
2003-07-01,204.2,22.74,8.3
2003-08-01,204.2,22.74,7.8
2003-09-01,204.2,22.74,8.6
2003-10-01,204.2,22.74,7
2003-11-01,204.2,22.74,6.7
2003-12-01,204.2,22.74,6.5
2004-01-01,191.4,24.21,6.8
2004-02-01,191.4,24.21,6.9
2004-03-01,191.4,24.21,6.8
2004-04-01,191.4,24.21,7.4
2004-05-01,191.4,24.21,7
2004-06-01,191.4,24.21,6.9
2004-07-01,191.4,24.21,6.3
2004-08-01,191.4,24.21,6.4
2004-09-01,191.4,24.21,6.5
2004-10-01,191.4,24.21,6.9
2004-11-01,191.4,24.21,6.6
2004-12-01,191.4,24.21,6.2
2005-01-01,216.2,25.15,6.6
2005-02-01,216.2,25.15,6.7
2005-03-01,216.2,25.15,6.3
2005-04-01,216.2,25.15,5.9
2005-05-01,216.2,25.15,5.9
2005-06-01,216.2,25.15,5.8
2005-07-01,216.2,25.15,6
2005-08-01,216.2,25.15,5.7
2005-09-01,216.2,25.15,5
2005-10-01,216.2,25.15,4.7
2005-11-01,216.2,25.15,4.6
2005-12-01,216.2,25.15,4.7
2006-01-01,216.7,25.17,4.9
2006-02-01,216.7,25.17,4.6
2006-03-01,216.7,25.17,4.6
2006-04-01,216.7,25.17,4.3
2006-05-01,216.7,25.17,4.1
2006-06-01,216.7,25.17,3.9
2006-07-01,216.7,25.17,4.2
2006-08-01,216.7,25.17,4.1
2006-09-01,216.7,25.17,4.4
2006-10-01,216.7,25.17,4
2006-11-01,216.7,25.17,4.6
2006-12-01,216.7,25.17,5
2007-01-01,216.9,25.81,4
2007-02-01,216.9,25.81,3.2
2007-03-01,216.9,25.81,3.3
2007-04-01,216.9,25.81,4.5
2007-05-01,216.9,25.81,4.2
2007-06-01,216.9,25.81,4.1
2007-07-01,216.9,25.81,4
2007-08-01,216.9,25.81,3.6
2007-09-01,216.9,25.81,4.3
2007-10-01,216.9,25.81,4.5
2007-11-01,216.9,25.81,4
2007-12-01,216.9,25.81,3.9
2008-01-01,222.3,27.77,3.7
2008-02-01,222.3,27.77,3.6
2008-03-01,222.3,27.77,3.9
2008-04-01,222.3,27.77,4.3
2008-05-01,222.3,27.77,4.1
2008-06-01,222.3,27.77,4.1
2008-07-01,222.3,27.77,4.3
2008-08-01,222.3,27.77,4.1
2008-09-01,222.3,27.77,4.2
2008-10-01,222.3,27.77,4.6
2008-11-01,222.3,27.77,4.7
2008-12-01,222.3,27.77,5.8
2009-01-01,234.4,27.62,5.9
2009-02-01,234.4,27.62,6.5
2009-03-01,234.4,27.62,6.9
2009-04-01,234.4,27.62,7.2
2009-05-01,234.4,27.62,7.2
2009-06-01,234.4,27.62,7.7
2009-07-01,234.4,27.62,7.4
